Title,Created by,Created time,Last edited by,Last edited time,Tags
Counting Sheeps,Helmy,"October 3, 2023 3:29 AM",Helmy,"October 3, 2023 3:32 AM",Easy
Kebun Binatang,Helmy,"October 3, 2023 3:19 AM",Helmy,"October 3, 2023 3:22 AM",Easy
Pola I,"020_AhmdMufahrasLiAlfazhAssardew_TIA22 ","August 27, 2023 10:27 PM","020_AhmdMufahrasLiAlfazhAssardew_TIA22 ","September 26, 2023 4:36 PM",Easy
Faktor Bilangan,"020_AhmdMufahrasLiAlfazhAssardew_TIA22 ","August 22, 2023 11:45 AM","020_AhmdMufahrasLiAlfazhAssardew_TIA22 ","August 27, 2023 10:03 PM",Easy
Jumlah Bebek,Helmy,"August 20, 2023 11:06 PM",Helmy,"August 20, 2023 11:12 PM",Easy
Lampu Berpola,Helmy,"August 20, 2023 11:01 PM",Helmy,"August 20, 2023 11:31 PM",Easy
Besar Kecil,Helmy,"August 20, 2023 10:56 PM",Helmy,"August 20, 2023 10:59 PM",Easy
Faktorial,Helmy,"August 12, 2023 11:41 AM","020_AhmdMufahrasLiAlfazhAssardew_TIA22 ","August 22, 2023 2:22 PM",Easy
大きな数字,"013_TIA22_AlifianErgaIswardhana ","October 8, 2023 8:39 PM",112_Renaldy Permana Sundawa TIC22,"October 9, 2023 4:51 PM",Medium
Rantai Angka,Helmy,"October 3, 2023 3:38 AM","081_Yunus Dhanzky Handitra_TIB ","October 9, 2023 7:26 PM",Medium
Segitiga Terkutuk,Helmy,"October 3, 2023 3:13 AM",Helmy,"October 3, 2023 3:18 AM",Medium
Menara Pola,Helmy,"August 20, 2023 11:22 PM",Helmy,"October 3, 2023 3:54 AM",Medium
Dua Pangkat,Helmy,"August 20, 2023 10:51 PM",Helmy,"August 20, 2023 11:05 PM",Medium
Tabel Perkalian,Helmy,"August 19, 2023 5:59 PM",Helmy,"August 20, 2023 10:59 PM",Medium
Pola Angka Segitiga,Helmy,"August 19, 2023 5:55 PM",Helmy,"August 20, 2023 11:00 PM",Medium
"Asal Lo Tau Ya Dek ",006_NaufalFarrasPratama _TIA22,"October 8, 2023 10:19 PM",Muhammad Istiqlal,"October 11, 2023 9:54 AM",Hard
Trace Matrices,Helmy,"October 3, 2023 4:05 AM",Helmy,"October 3, 2023 4:08 AM",Hard
Thai Tea,Helmy,"October 3, 2023 3:58 AM",Helmy,"October 3, 2023 4:02 AM",Hard
Menara Angka,Helmy,"August 20, 2023 11:24 PM","020_AhmdMufahrasLiAlfazhAssardew_TIA22 ","August 22, 2023 11:41 AM",Hard
Fibonnacci,Helmy,"August 19, 2023 5:50 PM",Helmy,"August 20, 2023 11:14 PM",Hard
